condition	type
SRR4785812	untreated	paired-end
SRR4785813	untreated	paired-end
SRR4785814	untreated	paired-end
SRR4785815	untreated	paired-end
SRR4785816	untreated	paired-end
SRR4785817	untreated	paired-end
SRR4785818	untreated	paired-end
SRR4785819	untreated	paired-end
SRR4785820	untreated	paired-end
SRR4785821	untreated	paired-end
SRR4785822	untreated	paired-end
SRR4785823	untreated	paired-end
SRR4785824	untreated	paired-end
SRR4785825	untreated	paired-end
SRR4785826	untreated	paired-end
SRR4785827	untreated	paired-end
SRR4785828	untreated	paired-end
SRR4785829	untreated	paired-end
SRR4785830	untreated	paired-end
SRR4785831	untreated	paired-end
SRR4785832	untreated	paired-end
SRR4785833	untreated	paired-end
SRR4785834	untreated	paired-end
SRR4785835	untreated	paired-end
SRR4785836	untreated	paired-end
SRR4785837	untreated	paired-end
SRR4785838	untreated	paired-end
SRR4785839	untreated	paired-end
SRR4785862	treated	paired-end
SRR4785863	treated	paired-end
SRR4785864	treated	paired-end
SRR4785865	treated	paired-end
SRR4785866	treated	paired-end
SRR4785867	treated	paired-end
SRR4785868	treated	paired-end
SRR4785869	treated	paired-end
SRR4785870	treated	paired-end
SRR4785871	treated	paired-end
