condition	type
SRR4785862	untreated	paired-end
SRR4785863	untreated	paired-end
SRR4785864	untreated	paired-end
SRR4785865	untreated	paired-end
SRR4785866	untreated	paired-end
SRR4785867	untreated	paired-end
SRR4785868	untreated	paired-end
SRR4785869	untreated	paired-end
SRR4785870	untreated	paired-end
SRR4785871	untreated	paired-end
SRR4785840	treated	paired-end
SRR4785841	treated	paired-end
SRR4785842	treated	paired-end
SRR4785843	treated	paired-end
SRR4785844	treated	paired-end
SRR4785845	treated	paired-end
SRR4785846	treated	paired-end
SRR4785847	treated	paired-end
SRR4785848	treated	paired-end
SRR4785849	treated	paired-end
SRR4785850	treated	paired-end
SRR4785851	treated	paired-end
SRR4785852	treated	paired-end
SRR4785853	treated	paired-end
SRR4785854	treated	paired-end
SRR4785855	treated	paired-end
SRR4785856	treated	paired-end
SRR4785857	treated	paired-end
SRR4785858	treated	paired-end
SRR4785859	treated	paired-end
SRR4785860	treated	paired-end
SRR4785861	treated	paired-end
