condition	type
SRR4785812	untreated	paired-end
SRR4785813	untreated	paired-end
SRR4785814	untreated	paired-end
SRR4785815	untreated	paired-end
SRR4785816	untreated	paired-end
SRR4785817	untreated	paired-end
SRR4785818	untreated	paired-end
SRR4785819	untreated	paired-end
SRR4785820	untreated	paired-end
SRR4785821	untreated	paired-end
SRR4785822	untreated	paired-end
SRR4785823	untreated	paired-end
SRR4785824	untreated	paired-end
SRR4785825	untreated	paired-end
SRR4785826	untreated	paired-end
SRR4785827	untreated	paired-end
SRR4785828	untreated	paired-end
SRR4785829	untreated	paired-end
SRR4785830	untreated	paired-end
SRR4785831	untreated	paired-end
SRR4785832	untreated	paired-end
SRR4785833	untreated	paired-end
SRR4785834	untreated	paired-end
SRR4785835	untreated	paired-end
SRR4785836	untreated	paired-end
SRR4785837	untreated	paired-end
SRR4785838	untreated	paired-end
SRR4785839	untreated	paired-end
SRR4785840	treated	paired-end
SRR4785841	treated	paired-end
SRR4785842	treated	paired-end
SRR4785843	treated	paired-end
SRR4785844	treated	paired-end
SRR4785845	treated	paired-end
SRR4785846	treated	paired-end
SRR4785847	treated	paired-end
SRR4785848	treated	paired-end
SRR4785849	treated	paired-end
SRR4785850	treated	paired-end
SRR4785851	treated	paired-end
SRR4785852	treated	paired-end
SRR4785853	treated	paired-end
SRR4785854	treated	paired-end
SRR4785855	treated	paired-end
SRR4785856	treated	paired-end
SRR4785857	treated	paired-end
SRR4785858	treated	paired-end
SRR4785859	treated	paired-end
SRR4785860	treated	paired-end
SRR4785861	treated	paired-end
